Year,Round,Race,PoleTime,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,avg_speed_kmh,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns
2025,16,Italian Grand Prix,78.792,26.60641026,42.77820513,35.82051282,998.624359,FALSE,Permanent,5.793,259,2,4,Low,Low,10,11
2025,17,Azerbaijan Grand Prix,101.117,20.74888889,26.07851852,59.48888889,1013.573333,TRUE,Street,6.003,210,2,4,Low,Medium,9,20
2025,18,Singapore Grand Prix,89.158,29.86341463,34.96097561,69.13414634,1011.464634,FALSE,Street,4.94,192,3,4,Medium,High,5,19
2025,19,United States Grand Prix,92.51,33.92272727,45.7125,36.32954545,989.3784091,FALSE,Permanent,5.513,209,2,3,High,Medium-High,7,20
2025,20,Mexico City Grand Prix,75.586,26.18974359,46.03589744,27.46153846,780.5282051,FALSE,Permanent,4.304,197,3,4,Low,Low,8,17
2025,21,São Paulo Grand Prix,69.511,25.97073171,40.2804878,56.45121951,918.3682927,FALSE,Permanent,4.309,220,2,3,Medium,Medium,7,15
2025,22,Las Vegas Grand Prix,107.934,11.72823529,12.54941176,65.54117647,945.9623529,TRUE,Street,6.12,249,3,5,Low,Low,9,17
2025,23,Qatar Grand Prix,79.387,20.50465116,25.48139535,74.6744186,1016.560465,FALSE,Permanent,5.38,237,2,3,Very High,Medium-High,7,16
2025,24,Abu Dhabi Grand Prix,82.207,25.0961039,29.11038961,76.71428571,1017.201299,FALSE,Permanent,5.281,221,2,3,Low,Medium,7,16
2026,1,Australian Grand Prix,78.518,20.45263158,34.27263158,63.71894737,1013.524211,FALSE,Street-Park,5.278,231,3,4,Medium,Medium,7,14
2026,2,Chinese Grand Prix,92.064,17.75822785,30.99493671,34.37468354,1023.540506,FALSE,Permanent,5.451,222,2,3,Medium,Medium,8,16
2026,3,Japanese Grand Prix,88.778,16.53866667,29.66666667,51.58666667,1008.698667,FALSE,Permanent,5.807,229,1,3,Low,High,6,18
2026,4,Miami Grand Prix,87.798,33.92222222,51.88271605,30.31975309,1010.202469,FALSE,Street-Park,5.412,221,3,4,Medium,Medium,7,19
2026,5,Canadian Grand Prix,72.578,21.27594937,30.87594937,24.46202532,1028.665823,TRUE,Street-Park,4.361,215,2,3,Low,Low,8,13
2026,6,Monaco Grand Prix,72.051,23.67857143,38.47619048,54.90952381,1017.496429,FALSE,Street,3.337,161,1,1,Low,High,3,19
