Year,Round,Race,PoleTime,TopSpeed,AvgSpeed,FullThrottleTime,MostCommonGear,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns,longest_straight_km,reg,new_reg
2022,20,Mexico City Grand Prix,77.775,349,197.8103448,37.315,3,25.62948718,48.52820513,36.26923077,782.5807692,FALSE,Permanent,4.304,3,4,Low,Medium-High,8,17,1.29,B,Y
2022,21,São Paulo Grand Prix,71.41,326,212.0676692,41.68,3,19.16419753,26.71358025,93.58024691,924.4481481,TRUE,Permanent,4.309,2,3,Medium,Medium,7,15,1.23,B,Y
2022,22,Abu Dhabi Grand Prix,83.824,327,221.4886731,53.16,7,28.7630137,33.94246575,69.71232877,1014.713699,FALSE,Permanent,5.281,2,3,Low,Medium,7,16,1.14,B,Y
2023,1,Bahrain Grand Prix,89.708,323,213.8396226,56.322,7,23.88,28.08526316,21.65263158,1017.641053,FALSE,Permanent,5.412,3,4,High,Medium,7,15,1.09,B,N
2023,2,Saudi Arabian Grand Prix,88.265,338,253.1820896,65.759,8,27.02375,31.66625,44.7375,1010.48,FALSE,Street,6.174,3,5,Low,Low,9,27,0.85,B,N
2023,3,Australian Grand Prix,76.732,326,244.8729097,54.2,7,15.20421053,22.71263158,53.4,1018.930526,TRUE,Street-Park,5.278,3,4,Medium,Medium,7,14,1.3,B,N
2023,4,Azerbaijan Grand Prix,100.203,334,210.9846939,63.44,3,19.46132075,33.08584906,80.62264151,1011.65283,FALSE,Street,6.003,2,4,Low,Medium,9,20,2.2,B,N
2023,5,Miami Grand Prix,86.841,340,223.8220859,51.08,8,28.64482759,43.26666667,59.20689655,1017.397701,FALSE,Street-Park,5.412,3,4,Medium,Medium,7,19,1.2,B,N
2023,6,Monaco Grand Prix,71.365,290,169.2633588,30.842,2,25.58604651,46.49534884,34.6627907,1016.240698,FALSE,Street,3.337,1,1,Low,High,3,19,0.54,B,N
2023,7,Spanish Grand Prix,72.272,330,231.0905797,47.999,7,20.85340909,24.94090909,71.94318182,1000.636364,TRUE,Permanent,4.657,2,3,High,Medium-High,6,12,1.05,B,N
2023,8,Canadian Grand Prix,79.092,337,198.5625,38.878,3,16.46629213,18.45617978,87.71910112,1004.91236,TRUE,Street-Park,4.361,2,3,Low,Low,8,13,1.19,B,N
2023,9,Austrian Grand Prix,64.391,325,237.5737705,45.085,8,26.7,39.60941176,41.57647059,930.5976471,FALSE,Permanent,4.318,3,4,Medium,Low-Medium,8,10,0.92,B,N
2023,10,British Grand Prix,86.72,328,241.7062315,58.319,8,21.29787234,22.92659574,78.39361702,999.3968085,TRUE,Permanent,5.891,2,4,High,Medium-High,7,18,0.76,B,N
2023,11,Hungarian Grand Prix,76.609,311,205.9055944,42.832,5,26.25897436,43.86282051,34.5,987.3423077,FALSE,Permanent,4.381,1,2,Medium,High,4,14,0.91,B,N
2023,12,Belgian Grand Prix,106.168,339,235.4925743,69.359,8,19.25157895,23.64421053,88.67368421,961.5884211,TRUE,Permanent,7.004,2,3,Medium,Medium,8,19,1.05,B,N
2023,13,Dutch Grand Prix,70.567,326,216.3088803,41.121,4,17.963,22.432,77.91,1009.405,TRUE,Permanent,4.259,2,3,High,High,5,14,0.69,B,N
2023,14,Italian Grand Prix,80.294,350,260.9425676,59.16,8,28.17974684,39.42658228,40.84810127,998.9898734,FALSE,Permanent,5.793,2,4,Low,Low,10,11,1.22,B,N
2023,15,Singapore Grand Prix,90.984,315,191.9589443,47.799,4,29.51909091,34.15272727,77.35454545,1009.78,FALSE,Street,4.94,3,4,Medium,High,5,19,0.8,B,N
2023,16,Japanese Grand Prix,88.877,335,234.4441088,58.001,7,26.08695652,36.55326087,47.5,1009.395652,FALSE,Permanent,5.807,1,3,Low,High,6,18,1.2,B,N
2023,17,Qatar Grand Prix,83.778,322,231.4542587,51.079,7,31.41686747,34.38554217,55.80722892,1006.46747,FALSE,Permanent,5.38,2,3,Very High,Medium-High,7,16,1.07,B,N
2023,18,United States Grand Prix,94.723,327,206.2115942,53.122,3,35.46075949,41.36582278,12.53164557,993.1050633,FALSE,Permanent,5.513,2,3,High,Medium-High,7,20,1.02,B,N
2023,19,Mexico City Grand Prix,77.166,351,198.9180887,37.523,3,25.8025641,44.11153846,27.1025641,780.2602564,FALSE,Permanent,4.304,3,4,Low,Medium-High,8,17,1.29,B,N
2023,20,São Paulo Grand Prix,70.162,332,219.4226415,40.959,3,29.37906977,38.33372093,57.3372093,917.4872093,TRUE,Permanent,4.309,2,3,Medium,Medium,7,15,1.23,B,N
2023,21,Las Vegas Grand Prix,92.726,346,237.7288136,63.682,8,15.1278481,16.88101266,61.06329114,942.2240506,FALSE,Street,6.12,3,5,Low,Low,9,17,1.92,B,N
2023,22,Abu Dhabi Grand Prix,83.445,329,226.9009585,54.319,7,26.73333333,31.84615385,66.30769231,1014.437179,FALSE,Permanent,5.281,2,3,Low,Medium,7,16,1.14,B,N
2024,1,Bahrain Grand Prix,89.179,322,216.7188406,55.443,6,18.04935065,21.51428571,46.94805195,1019.064935,FALSE,Permanent,5.412,3,4,High,Medium,7,15,1.09,B,N
2024,2,Saudi Arabian Grand Prix,87.472,331,254.0701754,66.76,8,25.10638298,30.78617021,56.05319149,1014.804255,FALSE,Street,6.174,3,5,Low,Low,9,27,0.85,B,N
